Number of Outlets,Tzone,Cue Viewing Time,Failure Rate,Failure Rate (Only Temporally),Period
1,125,175,0.580645161,0.580645161,2000
1,125,175,0.019230769,0.019230769,1000
4,125,175,0.657142857,0.6,2000
4,125,350,0.1,0.066666667,2000
4,50,350,0.2,0.133333333,2000
2,50,175,0.827586207,0.793103448,1000
2,200,0,0.903225806,0.677419355,2000
1,200,175,0.09375,0.09375,1000
2,125,350,0.055555556,0.055555556,1000
2,125,0,0.787878788,0.606060606,2000
2,125,175,0.558823529,0.529411765,1000
4,200,350,0.181818182,0.181818182,1000
1,50,175,0.352941176,0.352941176,1000
4,200,350,0.166666667,0.133333333,2000
1,125,350,0.096774194,0.096774194,1000
2,200,350,0.09375,0.09375,1000
2,50,350,0.166666667,0.166666667,2000
1,50,175,0.866666667,0.866666667,2000
1,125,350,0.2,0.2,2000
1,200,350,0,0,2000
2,200,350,0,0,2000
4,50,175,0.935483871,0.935483871,2000
2,50,175,0.96875,0.90625,2000
4,50,0,1,1,2000
2,125,175,0.5,0.5,2000
2,125,0,0.78125,0.59375,1000
4,125,350,0.28125,0.21875,1000
1,125,0,0.419354839,0.419354839,2000
1,50,0,0.766666667,0.766666667,2000
1,200,350,0.033333333,0.033333333,1000
1,50,350,0.233333333,0.233333333,2000
4,50,350,0.272727273,0.181818182,1000
1,200,0,0.15625,0.15625,2000
4,200,175,0.290322581,0.225806452,2000
4,50,0,0.658536585,0.536585366,1000
2,50,0,0.833333333,0.533333333,1000
4,125,175,0.733333333,0.7,1000
2,200,175,0.033333333,0,1000
4,125,0,0.90625,0.875,2000
4,200,0,1,1,1000
4,200,0,1,0.96875,2000
2,50,350,0.235294118,0.235294118,1000
2,200,175,0,0,2000
2,125,350,0,0,2000
1,50,0,0.516129032,0.516129032,1000
4,200,175,0.405405405,0.324324324,1000
4,50,175,0.69047619,0.69047619,1000
1,125,0,0.1875,0.1875,1000
1,50,350,0.133333333,0.133333333,1000
1,200,0,0.03125,0.03125,1000
1,200,175,0.034482759,0.034482759,2000
4,125,0,0.675,0.375,1000
2,50,0,0.875,0.6875,2000
